name,count,rank
On,2011,1
So,1689,2
David,1064,3
Jesus,983,4
Put,911,5
Moses,851,6
Judah,816,7
Saul,420,8
Jacob,377,9
Death,372,10
Aaron,350,11
Daughter,327,12
Solomon,305,13
Pharaoh,273,14
Joseph,250,15
Ark,230,16
Joshua,217,17
Ephraim,177,18
Moab,168,19
Benjamin,166,20
Jeremiah,149,21
Manasseh,147,22
Joab,145,23
Samuel,144,24
John,138,25
Isaac,132,26
Hezekiah,128,27
Jonathan,121,28
Lot,113,29
Absalom,108,30
Jeroboam,104,31
Gilead,101,32
Esau,100,33
Ram,98,34
Ahab,94,35
Canaan,91,36
Jehoshaphat,85,37
Daniel,84,38
Simon,76,39
Reuben,74,40
Eleazar,74,40
Hebron,73,41
Dan,72,42
Gad,72,42
Levi,72,42
Elijah,69,43
King of Assyria,68,44
Abimelech,66,45
Baal,64,46
Shechem,64,46
Balaam,63,47
Abner,63,47
Zedekiah,62,48
Abram,61,49
Job,61,49
Nebuchadnezzar,60,50
Mordecai,60,50
Asa,60,50
Jehu,59,51
Elisha,58,52
Pilate,56,53
Satan,56,53
Laban,55,54
Mary,54,55
Josiah,53,56
Noah,53,56
Haman,53,56
Zadok,53,56
Jehoiada,52,57
Ephod,52,57
Simeon,50,58
Rehoboam,50,58
Naphtali,50,58
the angel of the LORD,50,58
Azariah,49,59
Joash,49,59
Ishmael,48,60
Jesse,47,61
Rachel,47,61
Zebulun,45,62
Herod,44,63
Issachar,44,63
James,44,63
Balak,43,64
Asher,43,64
Nathan,42,65
Ahaz,42,65
Shimei,42,65
Benaiah,42,65
Shemaiah,41,66
Amaziah,40,67
Zechariah,40,67
Merari,39,68
Midian,39,68
Ephah,39,68
Seir,39,68
Samson,39,68
Gideon,39,68
Sihon,37,69
Ahaziah,37,69
Jezreel,36,70
Philip,36,70
Caleb,36,70
Eli,35,71
Hamath,34,72
Hilkiah,34,72
Asaph,34,72
Leah,34,72
Judas,33,73
Isaiah,33,73
Micah,32,74
Gedaliah,32,74
Kohath,32,74
Sheba,32,74
Adam,31,75
Ahasuerus,31,75
Abiathar,31,75
Shaphan,30,76
Caesar,30,76
Rebekah,30,76
Nun,29,77
Hananiah,29,77
Joram,29,77
Jeshua,29,77
Jephthah,29,77
Baasha,28,78
Uriah,28,78
Amnon,28,78
Elam,28,78
Johanan,27,79
Ezra,27,79
Uzziah,27,79
Shallum,27,79
Adonijah,26,80
Korah,26,80
Zeruiah,26,80
Baruch,26,80
Abishai,25,81
Meshullam,25,81
Nebat,25,81
Darius,25,81
Maaseiah,25,81
Phinehas,25,81
Jotham,24,82
Tarshish,24,82
Boaz,24,82
Tamar,24,82
Amalek,24,82
Hiram,23,83
Jehoram,23,83
Hazael,23,83
Jehoahaz,23,83
Cyrus,23,83
Jezebel,23,83
Og,22,84
Nabal,22,84
Naboth,22,84
Zerubbabel,22,84
Machir,22,84
Sisera,21,85
Joel,21,85
Naomi,21,85
Kish,21,85
Obadiah,21,85
Elkanah,21,85
Eliab,21,85
Achish,21,85
Ithamar,21,85
Cain,20,86
Eden,20,86
Nadab,20,86
Ahithophel,20,86
Nethaniah,20,86
Abijah,20,86
Seraiah,20,86
Jonah,20,86
Ahikam,20,86
Ahijah,20,86
Zerah,19,87
King of Moab,19,87
Amon,19,87
Haran,19,87
Michal,18,88
Micaiah,18,88
Omri,18,88
Hezron,18,88
Gershon,18,88
Asahel,18,88
Tirzah,18,88
Keilah,18,88
Manoah,18,88
Ham,17,89
Shem,17,89
Eliashib,17,89
Athaliah,17,89
Elishama,17,89
Naaman,17,89
Elah,17,89
Abigail,17,89
Sarai,17,89
Nahor,17,89
Jehiel,16,90
Heman,16,90
Uzziel,16,90
Jephunneh,16,90
Abel,16,90
Hur,16,90
Amasa,16,90
Ziba,16,90
Ahimelech,16,90
Rabshakeh,16,90
Anathoth,16,90
Amariah,16,90
Mattaniah,16,90
Ner,16,90
Miriam,15,91
Artaxerxes,15,91
Lazarus,15,91
Ahimaaz,15,91
Bani,15,91
Amram,15,91
Hashabiah,15,91
Eliphaz,15,91
Michael,15,91
Nebuzaradan,15,91
Ahitub,15,91
Mephibosheth,15,91
Tobiah,15,91
Zimri,15,91
Eliezer,15,91
Eliakim,15,91
Sidon,14,92
Barak,14,92
Iddo,14,92
Gershom,14,92
Debir,14,92
Hushai,14,92
Rimmon,14,92
Titus,14,92
Heber,14,92
Jeduthun,14,92
Hadad,14,92
Ruth,14,92
Heth,14,92
Hannah,13,93
