person_name,count
Zechariah,23
Shemaiah,21
Azariah,18
Shimei,17
Meshullam,16
Maaseiah,14
Jonathan,14
Shallum,13
Zichri,12
Obadiah,12
Joseph,12
Hananiah,12
Joel,11
Benaiah,11
Mattaniah,10
Malchijah,10
Johanan,10
Seraiah,10
Zebadiah,9
Bani,9
Eliezer,9
Adaiah,9
Simon,9
Michael,9
Eleazar,9
Shelemiah,8
Shephatiah,8
Eliel,8
Eliashib,8
Elkanah,8
Jozabad,8
Amariah,8
Maacah,8
Hanan,8
Pharaoh,8
Jeshua,8
Shecaniah,8
Jeiel,8
Jeremiah,8
Joash,8
Hashabiah,8
Nathan,8
Jehiel,8
Nethanel,7
Jeremoth,7
Jeroham,7
Zadok,7
Berechiah,6
Eliphelet,6
Jahath,6
Elishama,6
Jedaiah,6
Zabad,6
Zerah,6
Iddo,6
Ishmael,6
Ahijah,6
Abijah,6
Zaccur,6
Micaiah,6
Elioenai,6
Uzzi,6
Pedaiah,6
Uzziel,6
Hilkiah,6
Mary,6
Judas,5
Jerimoth,5
Zedekiah,5
Manasseh,5
Jeshaiah,5
Ammihud,5
Judah,5
Gedaliah,5
Elah,5
Eber,5
Obed,5
Elam,5
Shelomith,5
Shaphat,5
Sheba,5
Mattithiah,5
Elihu,5
Abihail,5
Jobab,5
Eliakim,5
Shammah,5
John,5
Hodaviah,5
Joshua,5
Jehu,5
Jeush,5
Delaiah,5
Ezer,5
Eliab,5
Uriah,4
Nadab,4
Asahel,4
Asaiah,4
Asaph,4
Azarel,4
Jaazaniah,4
Azrikam,4
Joah,4
Elijah,4
Rephaiah,4
Malluch,4
Azmaveth,4
Alexander,4
Rehum,4
Reuel,4
Isshiah,4
Elnathan,4
Korah,4
Omri,4
Zephaniah,4
James,4
Hodiah,4
Shimri,4
Benjamin,4
Pethahiah,4
Jehoshaphat,4
Jahaziel,4
Pashhur,4
Harim,4
Hanani,4
Jehohanan,4
Beriah,4
Micah,4
Pelatiah,4
Shebaniah,4
Simeon,4
Baruch,4
Shema,4
Binnui,4
Kish,4
Ahitub,4
Shemariah,4
Gera,4
Nethaniah,4
Jachin,4
Heber,4
Joiada,3
Sallu,3
Jediael,3
Mahli,3
Shaphan,3
Meraioth,3
Shaul,3
Shealtiel,3
Shechem,3
Samuel,3
Jamin,3
Joab,3
Baana,3
Jehoiada,3
Tarshish,3
Tahath,3
Azzur,3
Mishael,3
Azriel,3
Tamar,3
Joiarib,3
Barzillai,3
Miniamin,3
Jerahmeel,3
Mattenai,3
Azaziah,3
Jair,3
Jether,3
Bela,3
Attai,3
Mijamin,3
Athaliah,3
Jehozabad,3
Eliada,3
Shammai,3
Baanah,3
Shammua,3
Jehoram,3
Mesha,3
Elon,3
Akkub,3
Zimri,3
Ram,3
Immer,3
Zabdi,3
Amaziah,3
Reaiah,3
Ammiel,3
Hadad,3
Rechab,3
Hezekiah,3
Amon,3
Paseah,3
Jotham,3
Herod,3
Abimelech,3
Haran,3
Igal,3
Uzziah,3
Hanun,3
Hoshea,3
Kenaz,3
Philip,3
Kemuel,3
Hur,3
Adonijah,3
Gilead,3
Ahimaaz,3
Zerubbabel,3
Ahimelech,3
Ahio,3
Hushim,3
Gershom,3
Gedor,3
King of Edom,3
Ira,3
Levi,3
Ephah,3
Arah,3
Hattush,3
Zur,3
King of Moab,3
Uri,3
Ishi,3
Er,3
Epher,3
Uz,3
Ethan,3
Ananias,3
Aram,3
Uzzah,3
Hasshub,3
Naaman,3
Abdon,3
Shelomoth,2
Obed-edom,2
Hiram,2
Hakkoz,2
Penuel,2
Hezron,2
Hashum,2
Havilah,2
Meshezabel,2
Carmi,2
Chenaanah,2
Helez,2
Deborah,2
Phinehas,2
Dedan,2
Noah,2
Demetrius,2
Noadiah,2
Mikloth,2
Hori,2
Hebron,2
Ozem,2
Hanoch,2
Peleth,2
Henadad,2
Hassenuah,2
Hashabneiah,2
Onam,2
Hepher,2
Mibsam,2
Cush,2
Claudius,2
Palti,2
Shebuel,2
Cushi,2
Jakim,2
Pelet,2
Mica,2
Heman,2
Pelaiah,2
Shelah,2
Hezir,2
Daniel,2
Darius,2
Parosh,2
Japhia,2
Hanniel,2
Sharezer,2
Puah,2
Hoshaiah,2
Mordecai,2
Neariah,2
Eli,2
Ezra,2
Rehob,2
Ezbon,2
Jaasiel,2
Rekem,2
Eliam,2
Eliasaph,2
Eliehoenai,2
Nahum,2
Eshtemoa,2
Rezin,2
Nahor,2
Nahath,2
Imri,2
Eliphaz,2
Nahash,2
Erastus,2
Elishah,2
Izhar,2
Moza,2
Ishvi,2
Ithran,2
Ithiel,2
Enoch,2
Issachar,2
Shemer,2
Sallai,2
Elzabad,2
Saul,2
Imnah,2
Shabbethai,2
Hushai,2
Hotham,2
Shaaph,2
Dishon,2
Guni,2
Milcah,2
Dodo,2
Gomer,2
Jaddua,2
Gog,2
Miriam,2
Naamah,2
Giddel,2
Ebed,2
Jacob,2
Nergal-sar-ezer,2
Eleasah,2
Nepheg,2
Eder,2
Gemariah,2
Mishma,2
Nehemiah,2
Ehud,2
Gazez,2
Gamaliel,2
Elasah,2
Segub,2
Gaius,2
Mithredath,2
Raphah,2
Gad,2
Jephunneh,2
Heldai,2
Machir,2
Joha,2
Jezreel,2
Adnah,2
Asa,2
Tikvah,2
Timna,2
Zerahiah,2
Mahlah,2
Arioch,2
King of Arad,2
Ariel,2
Joiakim,2
Mahath,2
Tobiah,2
Tobijah,2
Agag,2
Mahalath,2
Adna,2
Tema,2
Jeroboam,2
Azubah,2
Zillethai,2
Achbor,2
Achsah,2
Mareshah,2
Talmai,2
Baal-hanan,2
Baal,2
Zibeon,2
Lazarus,2
Adiel,2
Lamech,2
Jeuel,2
Ater,2
Assir,2
Asshur,2
Asriel,2
Mahalalel,2
Tola,2
Ahab,2
Zabbai,2
Amram,2
Josiah,2
Ahinoam,2
Amos,2
YHVH,2
Amnon,2
Amminadab,2
Zabdiel,2
Libni,2
Amasa,2
Lucius,2
Ahlai,2
Alemeth,2
Aiah,2
Kadmiel,2
Lud,2
Amzi,2
Maaziah,2
Anaiah,2
Ahiman,2
Zelophehad,2
Ahaz,2
Joram,2
Ahaziah,2
Ahi,2
Ulam,2
Unni,2
Ahiezer,2
Shemiramoth,2
Joshaphat,2
Uthai,2
Ahihud,2
Ahilud,2
Anathoth,2
Uzza,2
Tabeel,2
Jezebel,2
Bezalel,2
Jehoiarib,2
Abiram,2
Bukki,2
Jehallelel,2
Ben-hadad,2
Mephibosheth,2
Mehetabel,2
Jehozadak,2
Shua,2
Shomer,2
Beor,2
Jehonathan,2
Shobal,2
Ziza,2
Shobab,2
Abdi,2
Sheva,2
Jehoahaz,2
Abinadab,2
Zimmah,2
Melchi,2
King of the sons of Ammon,2
Zohar,2
Abihud,2
Shimea,2
Jehdeiah,2
Abiezer,2
Bilhan,2
Abigail,2
Kolaiah,2
Bilgah,2
Shuthelah,2
Sisera,2
Mattan,2
Meremoth,2
Basemath,2
Caesar,2
Mattathias,2
Ziph,2
Sherebiah,2
Becher,2
Buz,2
Matthat,2
Kore,2
Abishua,2
Bunni,2
Abdeel,2
Jekamiah,2
Beeri,2
King of the North,1
Nekoda,1
Onesiphorus,1
Nehushta,1
Ophir,1
Linus,1
Netanel,1
Lois,1
King of Tirzah,1
Kishi,1
Ner,1
Nereus,1
King of Tappuah,1
King of the South,1
Onan,1
Neriah,1
Ophrah,1
Nephisim,1
Nemuel,1
King of the Ammonites,1
Onesimus,1
Lotan,1
Lot,1
Oreb,1
Lo-ammi,1
Neri,1
Lo-ruhamah,1
King of Tyre,1
Ladan,1
Neziah,1
Kittim,1
Obal,1
Leah,1
Oholibamah,1
Oholiab,1
Lappidoth,1
